1,Числовой управляющий/считываемый параметр,input_param
2,Логический управляющий/считываемый параметр,bool
3,Считываемая таблица значений,analog_table
4,Одиночный многократно считываемый параметр,onlineparam
5,Многопозиционный дискретный параметр,select
6,График,diagram
7,Текст,text
8,Изображение,img
9,Ручная таблица значений,table
10,Текстовое поле ввода,text_field
